,Run,SRA,Model,Assay,LibrarySelection,Class,Part.of.microRNAOme.1,CellType,batch.used.in.the.normalization.approaches,group.used.in.the.normalization.approaches,Total_reads,Total.Filtered.reads,Trimmed.Reads..unique.,All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin.miRNAs.Reads,mature.tRNA.Reads,primary.tRNA.Reads,snoRNA.Reads,rRNA.Reads,Other.ncRNA.reads,mRNA.Reads,Remaining.Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR2529584,SRR2529584,SRP064235,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Macrophage,155.0,11.0,6105786.0,5282070.0,253946.0,3795709.0,3786683.0,663.0,1254.0,220312.0,9173.0,168207.0,553587.0,210092.0,34125.0,289611.0,SRX1291966,PRJNA297139,SRS1091393,SAMN04115752,GEO,DOI: 10.1371/journal.pgen.1006338,27690314
SRR10123188,SRR10123188,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1888496.0,1803372.0,143513.0,855729.0,848930.0,438.0,1244.0,17982.0,171.0,320314.0,62791.0,371401.0,15267.0,158473.0,SRX6852721,PRJNA376864,SRS5391126,SAMN12757005,UNIVERSITY OF DEBRECEN,-,-
SRR10123189,SRR10123189,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1924128.0,1808180.0,153006.0,748331.0,745188.0,436.0,1613.0,20229.0,225.0,409167.0,99746.0,350053.0,18810.0,160006.0,SRX6852720,PRJNA376864,SRS5391125,SAMN12757004,UNIVERSITY OF DEBRECEN,-,-
SRR10123190,SRR10123190,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,707922.0,679512.0,94139.0,203238.0,200773.0,251.0,269.0,5527.0,105.0,210633.0,49135.0,108703.0,4068.0,97834.0,SRX6852719,PRJNA376864,SRS5391124,SAMN12757003,UNIVERSITY OF DEBRECEN,-,-
SRR10123191,SRR10123191,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1795720.0,1737694.0,183332.0,524829.0,519054.0,334.0,656.0,10080.0,176.0,487803.0,84762.0,329083.0,26741.0,273564.0,SRX6852718,PRJNA376864,SRS5391123,SAMN12757002,UNIVERSITY OF DEBRECEN,-,-
SRR10123192,SRR10123192,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1401250.0,1368055.0,135186.0,268161.0,265387.0,285.0,311.0,5919.0,86.0,429977.0,85607.0,355545.0,13014.0,209435.0,SRX6852717,PRJNA376864,SRS5391122,SAMN12757001,UNIVERSITY OF DEBRECEN,-,-
SRR10123193,SRR10123193,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1815981.0,1756870.0,185289.0,403071.0,398484.0,327.0,451.0,10225.0,156.0,664361.0,88660.0,290616.0,34781.0,264549.0,SRX6852716,PRJNA376864,SRS5391121,SAMN12757000,UNIVERSITY OF DEBRECEN,-,-
SRR10123194,SRR10123194,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1112420.0,956068.0,145083.0,448361.0,443275.0,359.0,742.0,11122.0,164.0,159797.0,55218.0,130149.0,4535.0,145980.0,SRX6852715,PRJNA376864,SRS5391120,SAMN12756999,UNIVERSITY OF DEBRECEN,-,-
SRR10123195,SRR10123195,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,2018503.0,1267782.0,138674.0,608205.0,605391.0,416.0,885.0,17808.0,325.0,129803.0,112958.0,223094.0,4884.0,169820.0,SRX6852714,PRJNA376864,SRS5391119,SAMN12757019,UNIVERSITY OF DEBRECEN,-,-
SRR10123196,SRR10123196,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,2655173.0,1856442.0,181587.0,1022257.0,1018023.0,476.0,1262.0,27950.0,675.0,156019.0,92729.0,332267.0,10550.0,212733.0,SRX6852713,PRJNA376864,SRS5391118,SAMN12757018,UNIVERSITY OF DEBRECEN,-,-
SRR10123197,SRR10123197,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,2809293.0,2019406.0,169584.0,1229438.0,1224069.0,509.0,2721.0,30816.0,417.0,223476.0,48048.0,267964.0,11990.0,204536.0,SRX6852712,PRJNA376864,SRS5391117,SAMN12757017,UNIVERSITY OF DEBRECEN,-,-
SRR10063470,SRR10063470,SRP220198,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,8004705.0,7442887.0,547296.0,3221302.0,3213732.0,519.0,7076.0,1345605.0,92881.0,50197.0,1613291.0,285002.0,75894.0,751639.0,SRX6797348,PRJNA563721,SRS5339191,SAMN12687137,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063471,SRR10063471,SRP220198,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,6846015.0,5846763.0,552088.0,1946433.0,1935689.0,483.0,4132.0,1212008.0,32473.0,34038.0,1663075.0,248413.0,61186.0,645005.0,SRX6797349,PRJNA563721,SRS5339192,SAMN12687135,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063475,SRR10063475,SRP220198,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,22049089.0,19563585.0,1394701.0,7683289.0,7654514.0,657.0,12849.0,3552140.0,201268.0,112967.0,4691090.0,628442.0,184877.0,2496663.0,SRX6797384,PRJNA563721,SRS5339227,SAMN12687132,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063476,SRR10063476,SRP220198,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,15139180.0,13256027.0,1077693.0,3601339.0,3580439.0,556.0,6656.0,2739045.0,74453.0,83314.0,4329293.0,738992.0,153251.0,1529684.0,SRX6797385,PRJNA563721,SRS5339228,SAMN12687130,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR12851440,SRR12851440,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_epithelial_cell,140.0,22.0,1130176.0,899085.0,69665.0,581237.0,580464.0,351.0,2248.0,96330.0,770.0,29054.0,99075.0,22115.0,8120.0,60136.0,SRX9318407,PRJNA670231,SRS7543235,SAMN16489373,GEO,DOI: 10.1002/path.5571,33095908
SRR12851441,SRR12851441,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_epithelial_cell,140.0,22.0,1163351.0,960656.0,61055.0,627840.0,626914.0,357.0,1852.0,87165.0,878.0,34325.0,115740.0,18049.0,8426.0,66381.0,SRX9318408,PRJNA670231,SRS7543236,SAMN16489372,GEO,DOI: 10.1002/path.5571,33095908
SRR12851442,SRR12851442,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_epithelial_cell,140.0,22.0,1876964.0,1223794.0,99752.0,673264.0,672172.0,369.0,2632.0,213122.0,958.0,36887.0,144869.0,45478.0,11421.0,95163.0,SRX9318409,PRJNA670231,SRS7543237,SAMN16489371,GEO,DOI: 10.1002/path.5571,33095908
SRR12851443,SRR12851443,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_epithelial_cell,140.0,22.0,1902690.0,1402764.0,107215.0,997320.0,994860.0,368.0,2269.0,86327.0,393.0,33912.0,143583.0,20492.0,17325.0,101143.0,SRX9318410,PRJNA670231,SRS7543238,SAMN16489370,GEO,DOI: 10.1002/path.5571,33095908
SRR10123208,SRR10123208,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,5727110.0,5439171.0,325507.0,1311511.0,1302728.0,511.0,3285.0,47869.0,772.0,2092192.0,316347.0,1061176.0,102294.0,503725.0,SRX6852701,PRJNA376864,SRS5391106,SAMN12757007,UNIVERSITY OF DEBRECEN,-,-
SRR10123209,SRR10123209,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,3231097.0,2495222.0,231713.0,1335679.0,1324062.0,513.0,2491.0,39658.0,601.0,245844.0,195967.0,397787.0,10531.0,266664.0,SRX6852700,PRJNA376864,SRS5391105,SAMN12757006,UNIVERSITY OF DEBRECEN,-,-
SRR10123210,SRR10123210,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,1448270.0,1373334.0,176427.0,661964.0,654179.0,368.0,693.0,14207.0,156.0,193816.0,106291.0,187374.0,6259.0,202574.0,SRX6852699,PRJNA376864,SRS5391104,SAMN12756997,UNIVERSITY OF DEBRECEN,-,-
SRR10123211,SRR10123211,SRP100742,Illumina HiSeq 2500,miRNA-Seq,cDNA,Immune,No,Mononuclear_immune_cell,139.0,11.0,2200922.0,2120901.0,218147.0,477797.0,471440.0,351.0,701.0,15432.0,101.0,711414.0,150437.0,391266.0,33134.0,340619.0,SRX6852698,PRJNA376864,SRS5391103,SAMN12756996,UNIVERSITY OF DEBRECEN,-,-
SRR10416439,SRR10416439,SRP229070,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,34.0,4.0,6956757.0,6788503.0,384806.0,2610225.0,2600235.0,491.0,2336.0,232531.0,67436.0,1175913.0,1900236.0,323885.0,39394.0,436547.0,SRX7114632,PRJNA588167,SRS5625488,SAMN13229350,GEO,DOI: 10.1038/s41467-019-13587-3,31836704
SRR10416440,SRR10416440,SRP229070,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,34.0,4.0,4278157.0,4048676.0,299304.0,1521221.0,1511083.0,481.0,1186.0,210905.0,35359.0,384122.0,1302978.0,220084.0,24931.0,347890.0,SRX7114633,PRJNA588167,SRS5625489,SAMN13229349,GEO,DOI: 10.1038/s41467-019-13587-3,31836704
SRR10416441,SRR10416441,SRP229070,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,34.0,4.0,7267584.0,7098617.0,386325.0,2801662.0,2789979.0,523.0,2291.0,404346.0,67917.0,1049741.0,1976859.0,288682.0,29804.0,477315.0,SRX7114634,PRJNA588167,SRS5625490,SAMN13229348,GEO,DOI: 10.1038/s41467-019-13587-3,31836704
SRR10416442,SRR10416442,SRP229070,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,34.0,4.0,7375534.0,7202648.0,361619.0,3794148.0,3785239.0,529.0,2830.0,226804.0,95742.0,1464042.0,878194.0,338098.0,32101.0,370689.0,SRX7114635,PRJNA588167,SRS5625491,SAMN13229347,GEO,DOI: 10.1038/s41467-019-13587-3,31836704
SRR10756575,SRR10756575,SRP238534,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,97.0,11.0,11931511.0,11280111.0,526805.0,5242507.0,5219441.0,758.0,4860.0,656226.0,133787.0,1366173.0,572265.0,2544605.0,60253.0,699435.0,SRX7431084,PRJNA597231,SRS5876978,SAMN13670943,GEO,-,-
SRR10756576,SRR10756576,SRP238534,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,97.0,11.0,10822437.0,10455849.0,793472.0,5728293.0,5705926.0,798.0,4354.0,446465.0,145719.0,1188287.0,625142.0,1305759.0,232232.0,779598.0,SRX7431085,PRJNA597231,SRS5876979,SAMN13670942,GEO,-,-
SRR10063457,SRR10063457,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,2765734.0,2317415.0,240941.0,298649.0,294106.0,335.0,722.0,151205.0,2342.0,1533.0,330043.0,20524.0,5622.0,1506775.0,SRX6797341,PRJNA563721,SRS5339184,SAMN12687146,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063458,SRR10063458,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,2759615.0,2317636.0,232977.0,297290.0,293075.0,352.0,705.0,151578.0,2516.0,1468.0,327729.0,20247.0,5971.0,1510132.0,SRX6797341,PRJNA563721,SRS5339184,SAMN12687146,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063459,SRR10063459,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,3921157.0,3283141.0,132302.0,438440.0,436252.0,412.0,1184.0,251713.0,4903.0,2477.0,510191.0,31681.0,11305.0,2031247.0,SRX6797341,PRJNA563721,SRS5339184,SAMN12687146,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063464,SRR10063464,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,4090315.0,3288268.0,136423.0,508403.0,506365.0,408.0,852.0,283144.0,4444.0,2642.0,792445.0,43796.0,11515.0,1641027.0,SRX6797344,PRJNA563721,SRS5339187,SAMN12687143,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063468,SRR10063468,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,2582097.0,2311867.0,178978.0,155491.0,152784.0,298.0,437.0,70683.0,1322.0,710.0,138239.0,10115.0,4475.0,1930395.0,SRX6797347,PRJNA563721,SRS5339190,SAMN12687139,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063469,SRR10063469,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,3889286.0,3473393.0,99972.0,249002.0,247072.0,348.0,761.0,125322.0,2775.0,1227.0,227612.0,16365.0,9016.0,2841313.0,SRX6797347,PRJNA563721,SRS5339190,SAMN12687139,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR10063474,SRR10063474,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,150.0,20.0,4914138.0,3867560.0,173736.0,613475.0,610733.0,421.0,1249.0,385735.0,6088.0,3573.0,851638.0,61007.0,26952.0,1917843.0,SRX6797383,PRJNA563721,SRS5339226,SAMN12687134,GEO,DOI: 10.1093/cvr/cvaa219,32683448
SRR1910725,SRR1910725,SRP056097,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Macrophage,93.0,11.0,9549076.0,9141692.0,331180.0,7082714.0,7068265.0,733.0,9820.0,223725.0,29507.0,359788.0,454644.0,331373.0,57199.0,592922.0,SRX952415,PRJNA278007,SRS872573,SAMN03401157,GEO,DOI: 10.1038/ni.3205,26147685
SRR1910727,SRR1910727,SRP056097,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Macrophage,93.0,11.0,9847486.0,9476641.0,345010.0,6932987.0,6920486.0,751.0,7192.0,253292.0,32929.0,403922.0,545360.0,617758.0,69494.0,613707.0,SRX952417,PRJNA278007,SRS872572,SAMN03401161,GEO,DOI: 10.1038/ni.3205,26147685
SRR1910730,SRR1910730,SRP056097,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Macrophage,93.0,11.0,17317005.0,12229690.0,484696.0,8669501.0,8638607.0,784.0,8535.0,533116.0,45657.0,503368.0,592333.0,538290.0,87561.0,1251329.0,SRX952420,PRJNA278007,SRS872570,SAMN03401167,GEO,DOI: 10.1038/ni.3205,26147685
SRR12851452,SRR12851452,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_polyp_epithelial_cell,140.0,22.0,735617.0,534534.0,24935.0,423912.0,422949.0,361.0,1342.0,13031.0,855.0,14530.0,43718.0,8515.0,2026.0,26605.0,SRX9318419,PRJNA670231,SRS7543247,SAMN16489416,GEO,DOI: 10.1002/path.5571,33095908
SRR12851453,SRR12851453,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Nasal_polyp_epithelial_cell,140.0,22.0,616500.0,436882.0,22643.0,334588.0,333856.0,355.0,1130.0,11910.0,964.0,13707.0,36988.0,7663.0,2160.0,27772.0,SRX9318420,PRJNA670231,SRS7543248,SAMN16489415,GEO,DOI: 10.1002/path.5571,33095908
SRR10974410,SRR10974410,SRP245559,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,98.0,11.0,19955575.0,18388194.0,890654.0,13234068.0,13206362.0,848.0,18422.0,991062.0,23241.0,388714.0,1250466.0,830993.0,162183.0,1489045.0,SRX7639685,PRJNA603478,SRS6069924,SAMN13932718,GEO,DOI: 10.3390/cells9061534,32585977
SRR5755962,SRR5755962,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158.0,11.0,1959064.0,1667474.0,25622.0,70082.0,69530.0,222.0,80.0,46090.0,3.0,8826.0,15479.0,38279.0,989.0,1487646.0,SRX2956142,PRJNA391912,SRS2313345,SAMN07277623,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755966,SRR5755966,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,158.0,4.0,5409650.0,5005820.0,263132.0,1473580.0,1469967.0,405.0,4854.0,772978.0,244.0,718970.0,229301.0,273935.0,39036.0,1492922.0,SRX2956146,PRJNA391912,SRS2313349,SAMN07277619,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5121485,SRR5121485,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23.0,4.0,15817486.0,10189170.0,427258.0,5398973.0,5373258.0,609.0,8411.0,1390583.0,10452.0,803380.0,565671.0,474160.0,107308.0,1430232.0,SRX2436686,PRJNA358167,SRS1871649,SAMN06167114,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR5756072,SRR5756072,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD19_lymphocyte,158.0,4.0,6136601.0,4301122.0,177147.0,1015415.0,1010752.0,403.0,839.0,132819.0,516.0,483301.0,324249.0,134312.0,29052.0,2180619.0,SRX2956252,PRJNA391912,SRS2313455,SAMN07277811,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR1013431,SRR1013431,SRP031496,Illumina HiScanSQ,RNA-Seq,size fractionation,Immune,No,Macrophage,133.0,11.0,3078923.0,2698065.0,219965.0,1400224.0,1395860.0,439.0,928.0,81570.0,1688.0,62672.0,874148.0,133106.0,46760.0,96969.0,SRX365444,PRJNA222999,SRS491818,SAMN02378211,GEO,DOI: 10.1016/j.immuni.2014.01.006,24530056
SRR1013432,SRR1013432,SRP031496,Illumina HiScanSQ,RNA-Seq,size fractionation,Immune,No,Macrophage,133.0,11.0,1214016.0,1114181.0,82603.0,806987.0,804435.0,404.0,547.0,35577.0,966.0,20742.0,152067.0,38848.0,14318.0,44129.0,SRX365445,PRJNA222999,SRS491819,SAMN02378214,GEO,DOI: 10.1016/j.immuni.2014.01.006,24530056
